Subject,Condition,RT
1,very low,1152
2,very low,1238
3,very low,1228
4,very low,1169
5,very low,1119
6,very low,1147
7,very low,1332
8,very low,1225
9,very low,1156
10,very low,1118
11,very low,1196
12,very low,1040
13,low,1151
14,low,1235
15,low,1229
16,low,1170
17,low,1121
18,low,1147
19,low,1333
20,low,1224
21,low,1161
22,low,1116
23,low,1196
24,low,1044
25,high,872
26,high,843
27,high,1037
28,high,1016
29,high,895
30,high,801
31,high,1001
32,high,993
33,high,996
34,high,985
35,high,864
36,high,990
37,very high,816
38,very high,700
39,very high,600
40,very high,778
41,very high,756
42,very high,660
43,very high,870
44,very high,607
45,very high,725
46,very high,473
47,very high,670
48,very high,730
